teacheruser01,Password@01,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63407157b83ad11180b,69f6e63407157b83ad11180f
teacheruser02,Password@02,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63407157b83ad111812,69f6e63407157b83ad111816
teacheruser03,Password@03,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63407157b83ad111819,69f6e63407157b83ad11181d
teacheruser04,Password@04,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63407157b83ad111820,69f6e63507157b83ad111824
teacheruser05,Password@05,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63507157b83ad111827,69f6e63507157b83ad11182b
teacheruser06,Password@06,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63507157b83ad11182e,69f6e63507157b83ad111832
teacheruser07,Password@07,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63507157b83ad111835,69f6e63507157b83ad111839
teacheruser08,Password@08,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63607157b83ad11183c,69f6e63607157b83ad111840
teacheruser09,Password@09,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63607157b83ad111843,69f6e63607157b83ad111847
teacheruser10,Password@10,"Adamjee School",ACH-JHS-005,JHS 1,5,69f6e63607157b83ad11184a,69f6e63607157b83ad11184e
